Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Category,Resume
1.0,Ashley Ali,"TensorFlow, NLP, Pytorch",10.0,B.Sc,,AI Researcher,Hire,104895.0,8.0,100.0,,
2.0,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",10.0,MBA,Google ML,Data Scientist,Hire,113002.0,1.0,100.0,,
3.0,Corey Sanchez,"Ethical Hacking, Cybersecurity, Linux",1.0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766.0,7.0,70.0,,
4.0,Elizabeth Carney,"Python, Pytorch, TensorFlow",7.0,B.Tech,AWS Certified,AI Researcher,Hire,46848.0,0.0,95.0,,
5.0,Julie Hill,"SQL, React, Java",4.0,PhD,,Software Engineer,Hire,87441.0,9.0,100.0,,
6.0,Samantha Santos,"Cybersecurity, Networking, Linux, Ethical Hacking",10.0,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957.0,5.0,100.0,,
7.0,Tony Smith,"Networking, Cybersecurity, Ethical Hacking",4.0,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208.0,9.0,100.0,,
8.0,Anthony Harrison,"TensorFlow, Pytorch, NLP",3.0,M.Tech,AWS Certified,AI Researcher,Hire,103006.0,7.0,90.0,,
9.0,Nancy Jenkins,"Networking, Ethical Hacking",7.0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270.0,3.0,100.0,,
10.0,Courtney Gibson,"Python, TensorFlow, Pytorch, NLP",0.0,M.Tech,AWS Certified,AI Researcher,Reject,60579.0,1.0,35.0,,
11.0,Laura French,"SQL, Java, C++",1.0,PhD,Deep Learning Specialization,Software Engineer,Hire,88945.0,7.0,70.0,,
12.0,Ralph Barrera,"Cybersecurity, Ethical Hacking, Networking",0.0,MBA,Google ML,Cybersecurity Analyst,Reject,62708.0,5.0,50.0,,
13.0,David Diaz,"Cybersecurity, Networking",0.0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077.0,9.0,65.0,,
